Date,ETH Price (USD),Hashrate (GH/s),Blocks per day,,
5/9/2016,9.32,2619.8292,6044,,
5/10/2016,9.39,2678.5523,6012,,
5/11/2016,9.97,2576.6882,5914,,
5/12/2016,10.1,2640.5013,6099,,
5/13/2016,10.48,2813.5085,6064,,
5/14/2016,10.14,2768.5727,5958,,
5/15/2016,9.94,2787.9132,6015,,
5/16/2016,11.04,2782.0494,5961,,
5/17/2016,12.26,2777.3602,6071,,
5/18/2016,13.29,2893.0189,6063,,
5/19/2016,14.49,2959.2314,6011,,
5/20/2016,13.73,3019.804,6037,,
5/21/2016,13.95,3042.5019,5981,,
5/22/2016,14.21,3034.0969,6084,,
5/23/2016,13.45,3047.7928,6013,,
5/24/2016,12.62,3097.5979,6010,,
5/25/2016,12.53,3126.5085,6029,,
5/26/2016,12.37,3161.323,6019,,
5/27/2016,11.11,3175.1154,6045,,
5/28/2016,11.56,3253.1913,6019,,
5/29/2016,12.28,3275.4294,6001,,
5/30/2016,12.48,3266.9893,6007,,
5/31/2016,13.85,3226.0808,5936,,
6/1/2016,13.83,3170.4475,6039,,
6/2/2016,13.78,3240.5703,6072,,
6/3/2016,13.78,3413.4593,6029,,
6/4/2016,13.66,3396.8318,6016,,
6/5/2016,13.85,3326.0748,5963,,
6/6/2016,13.96,3441.9709,6108,,
6/7/2016,14.41,3465.5588,5990,,
6/8/2016,14.44,3478.0667,6091,,
6/9/2016,14.49,3639.7054,6092,,
6/10/2016,13.97,3424.0833,5902,,
6/11/2016,14.01,3555.18,6114,,
6/12/2016,15.57,3581.6422,6065,,
6/13/2016,17.55,3714.9746,6084,,
6/14/2016,18.7,3749.449,6035,,
6/15/2016,18.3,3718.5221,6007,,
6/16/2016,20.61,3717.1685,6015,,
6/17/2016,15.49,3864.3682,5849,,
6/18/2016,11.36,3764.232,5889,,
6/19/2016,12.33,3855.0105,6222,,
6/20/2016,11.7,3814.1165,5949,,
6/21/2016,12.71,3755.1058,5999,,
6/22/2016,13.21,3914.4371,6139,,
6/23/2016,13.58,3993.7808,6003,,
6/24/2016,14.25,3987.4979,6042,,
6/25/2016,14.28,3971.3075,5998,,
6/26/2016,13.82,4090.5901,6052,,
6/27/2016,14.04,4165.2564,6052,,
6/28/2016,12.15,4215.9351,6067,,
6/29/2016,12.76,4114.6487,5991,,
6/30/2016,12.4,4137.6421,5985,,
7/1/2016,12.23,4235.8486,6127,,
7/2/2016,12.04,4246.5515,6003,,
7/3/2016,11.85,4343.8485,6045,,
7/4/2016,11.34,4332.1514,6067,,
7/5/2016,10.45,4335.0033,5949,,
7/6/2016,10.51,4336.5273,6088,,
7/7/2016,10.07,4320.9295,6036,,
7/8/2016,11.3,4345.7744,5996,,
7/9/2016,10.92,4356.4367,6126,,
7/10/2016,10.97,4385.4846,6046,,
7/11/2016,10.58,4454.888,6029,,
7/12/2016,10.54,4453.2789,6006,,
7/13/2016,10.44,4517.2296,6086,,
7/14/2016,11.55,4472.393,6001,,
7/15/2016,11.88,4402.0765,5988,,
7/16/2016,11.59,4426.8996,6081,,
7/17/2016,11.19,4446.0043,6029,,
7/18/2016,11.03,4569.4936,6109,,
7/19/2016,11.63,4514.7929,5970,,
7/20/2016,12.54,4425.822,5946,,
7/21/2016,12.66,4602.5527,6154,,
7/22/2016,14.82,4434.4853,5957,,
