Date,BTC Price (USD),Hashrate(TH/s)
2012/06/10,5.68,13.3790336
2012/06/11,5.7,11.01802767
2012/06/12,5.96,12.74943202
2012/06/13,5.76,12.74943202
2012/06/14,6.165,12.51333143
2012/06/15,6.599,12.59203163
2012/06/16,6.27,12.59203163
2012/06/17,6.4668,12.35593103
2012/06/18,6.53294,14.32343598
2012/06/19,6.48,14.32343598
2012/06/20,6.8,10.47102688
2012/06/21,6.79962,12.10176058
2012/06/22,6.8,12.10176058
2012/06/23,6.5915,12.01593249
2012/06/24,6.44999,13.13169765
2012/06/25,6.56,13.13169765
2012/06/26,6.55555,13.90415045
2012/06/27,6.66897,11.58679204
2012/06/28,6.58,11.58679204
2012/06/29,6.693,12.18758867
2012/06/30,6.694,11.84427631
2012/07/01,6.69,11.84427631
2012/07/02,6.765,12.44507293
2012/07/03,6.55,13.84337907
2012/07/04,6.71,13.84337907
2012/07/05,6.73449,13.32098741
2012/07/06,6.75,14.80109712
2012/07/07,6.74,14.80109712
2012/07/08,6.896,14.36577074
2012/07/09,7.239,13.14685686
2012/07/10,6.98,13.14685686
2012/07/11,7.32,13.14685686
2012/07/12,7.9,14.01750963
2012/07/13,7.46,14.01750963
2012/07/14,7.64877,12.9727263
2012/07/15,8.2899,12.88566103
2012/07/16,7.8,12.88566102
2012/07/17,9.39899,14.00960107
2012/07/18,9.27491,13.26737055
2012/07/19,9.37,13.26737055
2012/07/20,9.7,13.91682225
2012/07/21,9,12.89625529
2012/07/22,9.53,12.89625529
2012/07/23,8.96,14.93738922
2012/07/24,8.76998,14.28793751
2012/07/25,8.91,14.28793751
2012/07/26,8.95,15.58684092
2012/07/27,8.93,15.77239855
2012/07/28,8.95,15.77239855
2012/07/29,9.15,18.73004176
2012/07/30,9.44,13.46538137
2012/07/31,9.22,13.46538137
2012/08/01,9.8,15.59149422
2012/08/02,11.1188,17.51512013
2012/08/03,10.12,17.51512013
2012/08/04,11.1869,14.680303
2012/08/05,11.29112,14.27532912
2012/08/06,11.21,14.27532912
2012/08/07,11.14999,17.21138972
2012/08/08,12,16.09771157
2012/08/09,11.35,16.09771157
2012/08/10,11.59788,15.9964681
2012/08/11,11.765,18.40554294
2012/08/12,11.64,18.40554294
2012/08/13,12.17887,17.75209171
2012/08/14,12.67,18.62336001
2012/08/15,12.3,18.62336001
2012/08/16,15.4,15.57392095
2012/08/17,15.26014,16.11846364
2012/08/18,15.37,16.11846364
2012/08/19,10.5,20.5837137
2012/08/20,10.29999,19.7124454
2012/08/21,10.45,19.7124454
2012/08/22,10.25,17.96990879
2012/08/23,10.25,16.98973194
2012/08/24,10.25,16.98973194
2012/08/25,10.61913,21.35320036
2012/08/26,12.14999,18.07742531
2012/08/27,10.99,18.07742531
2012/08/28,11.20999,20.13995034
2012/08/29,10.937,19.16935033
2012/08/30,11.14,19.16935033
2012/08/31,10.42,19.77597534
2012/09/01,10.18999,18.56272532
2012/09/02,10.36,18.56272532
2012/09/03,10.5934,15.52960026
2012/09/04,10.57888,21.83850037
2012/09/05,10.59,21.83850037
2012/09/06,11.29,23.03455822
2012/09/07,11.21,18.74905902
2012/09/08,11.27,18.74905902
2012/09/09,11.127,19.28474642
2012/09/10,11.19401,21.15965232
2012/09/11,11.14,21.15965232
2012/09/12,11.399,19.41866827
2012/09/13,11.75,21.69533972
2012/09/14,11.48,21.69533972
2012/09/15,11.99,20.08827752
2012/09/16,11.9625,23.57024562
2012/09/17,11.98,23.57024562
2012/09/18,12.61,19.15082457
2012/09/19,12.68666,20.92944794
2012/09/20,12.63,20.92944794
2012/09/21,12.4433,24.48887787
2012/09/22,12.2749,21.21420234
2012/09/23,12.4,21.21420234
2012/09/24,12.22909,21.21420234
2012/09/25,12.28,20.35993916
2012/09/26,12.24,20.35993916
2012/09/27,12.444,23.34986029
2012/09/28,12.49,23.91936908
2012/09/29,12.46,23.91936908
2012/09/30,12.481,21.07182514
2012/10/01,12.88,19.36329878
2012/10/02,12.58,19.36329878
2012/10/03,13.0899,20.34741197
2012/10/04,12.99,20.65110469
2012/10/05,13.07,20.65110469
2012/10/06,12.7369,20.80295104
2012/10/07,12.08,25.20649543
2012/10/08,12.58,25.20649543
2012/10/09,12.15,22.62510734
2012/10/10,12.19,20.9547974
2012/10/11,12.16,20.9547974
2012/10/12,12.137,22.16956827
2012/10/13,12,20.9547974
2012/10/14,12.1,20.9547974
2012/10/15,11.99,23.08064641
2012/10/16,11.99,21.53435778
2012/10/17,11.99,21.53435778
2012/10/18,11.967,24.28342473
2012/10/19,11.85,21.07617995
2012/10/20,11.94,21.07617995
2012/10/21,11.81,25.35250632
2012/10/22,12,20.92345401
2012/10/23,11.86,20.92345401
2012/10/24,11.71,21.07617995
2012/10/25,11.09988,24.58887661
2012/10/26,11.56,24.58887661
2012/10/27,10.61,25.81068415
2012/10/28,10.95,24.13069879
2012/10/29,10.69,24.13069879
2012/10/30,11.14,22.83220217
2012/10/31,11.279,22.17516038
2012/11/01,11.17,22.17516038
2012/11/02,10.60097,23.48924396
2012/11/03,10.68,26.28167156
2012/11/04,10.62,26.28167156
2012/11/05,10.88997,22.33942083
2012/11/06,11.21603,25.78889022
2012/11/07,10.97,25.78889022
2012/11/08,11.07,23.81776485
2012/11/09,10.95899,26.28167156
2012/11/10,11.04,26.28167156
2012/11/11,11.18,23.61218753
2012/11/12,11.129,22.77487591
2012/11/13,11.17,22.77487591
2012/11/14,11.114,22.77487591
2012/11/15,11.8,23.61218753
2012/11/16,11.28,23.61218753
2012/11/17,11.832,26.62650934
2012/11/18,11.79998,20.59786571
2012/11/19,11.82,20.59786571
2012/11/20,11.784,25.78919772
2012/11/21,12.28,24.61696146
2012/11/22,11.9,24.61696146
2012/11/23,12.4108,27.12889631
2012/11/24,12.6,23.61218753
2012/11/25,12.46,23.61218753
2012/11/26,12.52999,25.98426193
2012/11/27,12.40712,28.89039649
2012/11/28,12.5,28.89039649
2012/11/29,12.65,22.05243282
2012/11/30,12.68778,27.35185466
2012/12/01,12.66,27.35185466
2012/12/02,12.67901,25.64236375
2012/12/03,12.96675,18.97534917
2012/12/04,12.75,18.97534917
2012/12/05,13.6888,24.4457201
2012/12/06,13.68,21.19768736
2012/12/07,13.69,21.19768736
2012/12/08,13.53,22.22338191
2012/12/09,13.55,24.27477101
2012/12/10,13.53,24.27477101
2012/12/11,13.63999,21.61171133
2012/12/12,13.79989,22.78443985
2012/12/13,13.8,22.78443985
2012/12/14,13.7722,19.76885222
2012/12/15,13.66548,19.26625428
2012/12/16,13.75,19.26625428
2012/12/17,13.399,21.10911339
2012/12/18,13.399,23.95716837
2012/12/19,13.4,23.95716837
2012/12/20,13.6475,20.27145016
2012/12/21,13.58998,24.12470102
2012/12/22,13.63,24.12470102
2012/12/23,13.45,21.27664603
2012/12/24,13.45,20.60651545
2012/12/25,13.45,20.60651545
2012/12/26,13.47,23.84708488
2012/12/27,13.6499,26.06886297
2012/12/28,13.51,26.06886297
2012/12/29,13.56998,23.69896634
2012/12/30,13.59,24.88391466
2012/12/31,13.57,24.88391466
2013/01/01,13.4,23.10649218
2013/01/02,13.464,23.69896634
2013/01/03,13.42,23.69896634
2013/01/04,13.548,22.0696624
2013/01/05,13.52999,21.03283263
2013/01/06,13.54,21.03283263
2013/01/07,13.83,23.26118199
2013/01/08,13.87998,21.64582213
2013/01/09,13.84,21.64582213
2013/01/10,14.29999,19.54585431
2013/01/11,14.34999,19.22278234
2013/01/12,14.31,19.22278234
2013/01/13,14.3,24.87654185
2013/01/14,14.47899,20.51507022
2013/01/15,14.34,20.51507022
2013/01/16,15.39,19.86892628
2013/01/17,15.985,20.19199825
2013/01/18,15.53,20.19199825
2013/01/19,15.89,21.32275015
2013/01/20,16.98,23.58425396
2013/01/21,16.15,23.58425396
2013/01/22,17.5889,21.64582213
2013/01/23,19.18999,23.90732593
2013/01/24,17.97,23.90732593
2013/01/25,17.61926,22.13679333
2013/01/26,17.99999,22.43195058
2013/01/27,17.71,22.43195058
2013/01/28,19.8,23.9077368
2013/01/29,19.7,21.39890022
2013/01/30,19.78,21.39890022
2013/01/31,21.3,22.5795292
2013/02/01,21.1,23.76015818
2013/02/02,21.25,23.76015818
2013/02/03,21.05,25.97383751
2013/02/04,20.79,28.00576717
2013/02/05,20.99,28.00576717
2013/02/06,22.15,24.09798571
2013/02/07,22.15,24.74928262
2013/02/08,22.15,24.74928262
2013/02/09,23.61458,26.70317335
2013/02/10,24.1955,25.88905221
2013/02/11,23.97,25.88905221
2013/02/12,26.09999,25.56340376
2013/02/13,26.53092,26.70317335
2013/02/14,24.3,26.70317335
2013/02/15,27.07009,30.77377905
2013/02/16,25.6083,30.28530636
2013/02/17,27.39,30.28530636
2013/02/18,28.78999,30.12780025
2013/02/19,29.81231,31.39824966
2013/02/20,29.48,31.39824966
2013/02/21,30.901,29.22033639
2013/02/22,29.27998,29.40182916
2013/02/23,30.52,29.40182916
2013/02/24,30.25001,35.39109065
2013/02/25,31.179,28.13137975
2013/02/26,30.4,28.13137975
2013/02/27,33.50001,31.03526411
2013/02/28,34.87799,34.30627041
2013/03/01,33.36,34.30627041
2013/03/02,34.10007,33.00350064
2013/03/03,36.35,37.9974514
2013/03/04,34.25,37.9974514
2013/03/05,47.5,35.17478358
2013/03/06,42.49271,33.00350064
2013/03/07,42,33.00350064
2013/03/08,46.01112,36.91180993
2013/03/09,46.5,40.16873434
2013/03/10,46.93,40.16873434
2013/03/11,45.01771,25.62113866
2013/03/12,46.79999,33.43775723
2013/03/13,44.32,33.43775723
2013/03/14,47.25005,40.96623399
2013/03/15,47.11,42.41210107
2013/03/16,46.9,42.41210107
2013/03/17,47.65,43.13503461
2013/03/18,57.76,47.47263586
2013/03/19,52.12,47.47263586
2013/03/20,73.8,53.73805988
2013/03/21,71.5,54.22001557
2013/03/22,70.25,54.22001557
2013/03/23,70.1,72.22873859
2013/03/24,73.88798,45.26778087
2013/03/25,71.93,45.26778087
2013/03/26,88.9,41.93926757
2013/03/27,93.56701,59.58038805
2013/03/28,88.8,59.58038805
2013/03/29,90.99999,55.25332076
2013/03/30,92.50001,52.25765879
2013/03/31,92.5,52.25765879
2013/04/01,108.73,58.24898273
2013/04/02,138.79,59.24753672
2013/04/03,117.34,59.24753672
2013/04/04,143.8,54.92547287
2013/04/05,142.49765,64.07971834
2013/04/06,142.1,64.07971834
2013/04/07,184,64.46114524
2013/04/08,237.99,64.07971834
2013/04/09,186.96,64.07971834
2013/04/10,123.40098,62.55401076
2013/04/11,76.488,65.98685282
2013/04/12,124.9,65.98685282
2013/04/13,91,62.17258387
2013/04/14,91,61.02830318
2013/04/15,100,61.02830318
2013/04/16,85.59999,74.50115066
2013/04/17,96.5,72.71669197
2013/04/18,93.9,72.71669197
2013/04/19,123.86,64.68662782
2013/04/20,125,77.62395339
2013/04/21,127.5,77.62395339
2013/04/22,136.08099,70.93223327
2013/04/23,153.20019,78.07006806
2013/04/24,142.5,78.07006806
2013/04/25,135.601,76.73172404
2013/04/26,128.00001,70.93223327
2013/04/27,137,70.93223327
2013/04/28,141.50002,80.74675611
2013/04/29,139.109,74.63339018
2013/04/30,144.54,74.63339018
2013/05/01,105.00003,72.128914
2013/05/02,93.15,73.63159971
2013/05/03,103.3,73.63159971
2013/05/04,117.89001,77.13786636
2013/05/05,120.94999,81.64592348
2013/05/06,115.98,81.64592348
2013/05/07,113.95001,81.64592348
2013/05/08,109.56154,83.14860919
2013/05/09,113.35,83.14860919
2013/05/10,115.4,87.65666632
2013/05/11,114.32,89.15935203
2013/05/12,115.68,89.15935203
2013/05/13,119,81.74987297
2013/05/14,114.98499,81.74987297
2013/05/15,112,81.74987297
2013/05/16,124.49,89.53557516
2013/05/17,123.74995,81.74987297
2013/05/18,123.32,81.74987297
2013/05/19,122.65001,76.74477871
2013/05/20,122.5,82.86211614
2013/05/21,122.02,82.86211614
2013/05/22,125.67,89.53557516
2013/05/23,131.5,90.09169674
2013/05/24,126.7,90.09169674
2013/05/25,134.04701,97.26804906
2013/05/26,132.60997,103.9136922
2013/05/27,133.5,103.9136922
2013/05/28,129.97994,101.4970947
2013/05/29,130.99589,102.101244
2013/05/30,132.3,102.101244
2013/05/31,129.19945,119.6215759
2013/06/01,120.60293,123.2464721
2013/06/02,129.3,123.2464721
2013/06/03,120.56663,126.8713683
2013/06/04,122.4051,156.7035621
2013/06/05,121.42,156.7035621
2013/06/06,110.29501,124.8973935
2013/06/07,107.8,130.327715
2013/06/08,111.5,130.327715
2013/06/09,104.96851,139.6368375
2013/06/10,108,136.5337967
2013/06/11,106.1,136.5337967
2013/06/12,109,149.7217202
2013/06/13,100,133.4307558
2013/06/14,103.9,133.4307558
2013/06/15,100,145.067159
2013/06/16,100.52521,148.0494004
2013/06/17,99.9,148.0494004
2013/06/18,107.835,120.1699679
2013/06/19,111.97,140.3585225
2013/06/20,107.68,140.3585225
2013/06/21,109.09,165.3538758
2013/06/22,107.68389,169.1993148
2013/06/23,108.35,169.1993148
2013/06/24,103.86665,142.281242
2013/06/25,104.40565,181.6969915
2013/06/26,103.89,181.6969915
2013/06/27,96.63498,161.5084369
2013/06/28,95.85301,170.754179
2013/06/29,94.65,170.754179
2013/06/30,90.998,162.2694993
2013/07/01,89.55,166.5118392
2013/07/02,87,166.5118392
2013/07/03,79.8,180.2994437
2013/07/04,67.85844,187.7235384
2013/07/05,80.04,187.7235384
2013/07/06,70.942,198.3293881
2013/07/07,77.64,197.2688031
2013/07/08,75,197.2688031
2013/07/09,78.58899,181.3600287
2013/07/10,87.15,249.7082121
2013/07/11,87.9,249.7082121
2013/07/12,95.995,196.3851043
2013/07/13,94.75,211.9918675
2013/07/14,98,211.9918675
2013/07/15,97.01,213.2924311
2013/07/16,97.97,219.7952492
2013/07/17,97.05,219.7952492
2013/07/18,93.41082,219.7952492
2013/07/19,91.8775,243.205394
2013/07/20,92,243.205394
2013/07/21,91.788,279.6825502
2013/07/22,95.396,225.2998321
2013/07/23,91.99,225.2998321
2013/07/24,96.2,212.8694965
2013/07/25,96.39475,276.5749663
2013/07/26,97,276.5749663
2013/07/27,99.00001,275.0211744
2013/07/28,101.04202,257.929463
2013/07/29,98.7,257.929463
2013/07/30,104.95555,309.2045972
2013/07/31,104.19,287.4515099
2013/08/01,106.2,287.4515099
2013/08/02,103.80001,332.7260031
2013/08/03,104.67459,317.8555673
2013/08/04,104.95,317.8555672
2013/08/05,106.88378,351.314048
2013/08/06,105.6,327.1495897
2013/08/07,106.56,327.1495897
2013/08/08,102.3,386.6313333
2013/08/09,102.61802,369.9020929
2013/08/10,102.8,369.9020929
2013/08/11,104.99498,425.6662275
2013/08/12,107.29884,484.9527656
2013/08/13,106.64,484.9527656
2013/08/14,98.28,421.8078742
2013/08/15,98.51,434.4368525
2013/08/16,98.08,434.4368525
2013/08/17,99.02,497.5817439
2013/08/18,102.07,449.5916264
2013/08/19,99.3,449.5916264
2013/08/20,109.75,520.3139047
2013/08/21,111.01,525.365496
2013/08/22,110.43,525.365496
2013/08/23,108.79,607.9322986
2013/08/24,112.9,467.3888102
2013/08/25,109.04,467.3888102
2013/08/26,117.52,562.1739535
2013/08/27,119.25,545.8316874
2013/08/28,117.72,545.8316874
2013/08/29,124.79,634.0799243
2013/08/30,132.75,702.7174419
2013/08/31,124.84,702.7174419
2013/09/01,131.03,768.0865063
2013/09/02,130.45,604.6638454
2013/09/03,130.09,604.6638454
2013/09/04,124.51,704.3985918
2013/09/05,122.44,821.0781131
2013/09/06,122.63,821.0781131
2013/09/07,118.51,643.8980992
2013/09/08,121.66,834.0425044
2013/09/09,118.18,834.0425044
2013/09/10,124.1,868.6142144
2013/09/11,128.45,898.8644607
2013/09/12,126.54,898.8644606
2013/09/13,124.32,933.4361707
2013/09/14,125.46,1024.579581
2013/09/15,124.05,1024.579581
2013/09/16,127.56,990.9868074
2013/09/17,127.23,845.4181239
2013/09/18,139.15,845.4181239
2013/09/19,123.98,1080.567536
2013/09/20,123.5,1046.974763
2013/09/21,123.04,1046.974763
2013/09/22,123.02,1237.33381
2013/09/23,122.59,1125.3579
2013/09/24,122.65,1125.3579
2013/09/25,123.85,1265.031076
2013/09/26,125.6,1302.020289
2013/09/27,124.65,1302.020289
2013/09/28,128.1,1242.837548
2013/09/29,125.8,1213.246178
2013/09/30,127.01,1213.246178
2013/10/01,104.47,1279.826761
2013/10/02,116.95,1538.75125
2013/10/03,103.85,1538.75125
2013/10/04,121.51,1560.944778
2013/10/05,121.6,1900.662831
2013/10/06,121.2,1900.662831
2013/10/07,123.84,1467.838622
2013/10/08,126.08,1721.887615
2013/10/09,124.12,1721.887615
2013/10/10,126.84,1665.432283
2013/10/11,127.53,1853.616722
2013/10/12,127.41,1853.616722
2013/10/13,135.69,2427.57926
2013/10/14,139.24,2333.487041
2013/10/15,135.17,2333.487041
2013/10/16,143.33,2382.309675
2013/10/17,150.59,2302.45572
2013/10/18,143.94,2302.45572
2013/10/19,165.71,2874.742402
2013/10/20,177.07,2675.107513
2013/10/21,186.12,2675.107513
2013/10/22,199.95,2808.197439
2013/10/23,195.78,2781.579453
2013/10/24,203.7,2781.579453
2013/10/25,179.71,3867.201912
2013/10/26,189.06,3439.672053
2013/10/27,179.56,3439.672053
2013/10/28,202.09,3051.008544
2013/10/29,203.39,3808.902386
2013/10/30,216,3808.902386
2013/10/31,203.24,3692.303334
2013/11/01,204.15,4216.99907
2013/11/02,203,4216.99907
2013/11/03,225.1,3886.635088
2013/11/04,246.63,3303.639825
2013/11/05,229.95,3303.639825
2013/11/06,292.32,3911.362076
2013/11/07,325.56,3377.99452
2013/11/08,291.02,3377.99452
2013/11/09,296.91,4266.940446
2013/11/10,339.38,4952.698733
2013/11/11,328,4952.698733
2013/11/12,391.64,4774.909547
2013/11/13,416.5,4292.338902
2013/11/14,393,4292.338902
2013/11/15,433.53,4978.097188
2013/11/16,463,5847.426832
2013/11/17,437.24,5847.426832
2013/11/18,559.99,4696.119995
2013/11/19,595,4938.500381
2013/11/20,547,4938.500381
2013/11/21,761,5029.393026
2013/11/22,837.99,4908.202833
2013/11/23,795,4908.202833
2013/11/24,814,5453.558703
2013/11/25,844.9,4968.79793
2013/11/26,814.56,4968.79793
2013/11/27,1009,5514.1538
2013/11/28,1083.9,6505.60945
2013/11/29,1014.1,6505.60945
2013/11/30,970,6857.264015
2013/12/01,992.27,5731.969408
2013/12/02,955.01,5731.969408
2013/12/03,1151,6224.285799
2013/12/04,1028.34,6013.29306
2013/12/05,1136.9,6013.29306
2013/12/06,727.29,6751.767646
2013/12/07,722.99,6294.616711
2013/12/08,705.91,6294.616711
2013/12/09,936.98,9076.027624
2013/12/10,886.2,7134.389874
2013/12/11,978.76,7134.389874
2013/12/12,874,7495.624804
2013/12/13,864.7,9030.873258
2013/12/14,885,9030.873258
2013/12/15,709,8714.792694
2013/12/16,702.05,8895.410159
2013/12/17,690,8895.410159
2013/12/18,653,9753.343119
2013/12/19,660,9121.181991
2013/12/20,685.3,9121.181991
2013/12/21,637,9744.865734
2013/12/22,639.9,9333.937661
2013/12/23,614.11,9333.937661
2013/12/24,658.07,10097.0898
2013/12/25,734.42,10508.01787
2013/12/26,679.02,10508.01787
2013/12/27,701.61,9627.457714
2013/12/28,714.79,8805.601567
2013/12/29,715,8805.601567
2013/12/30,731,9920.977766
2013/12/31,746.9,11740.80209
2014/01/01,732,11740.80209
2014/01/02,806.21,11493.6341
2014/01/03,822.38,10435.93771
2014/01/04,807.39,10435.93771
2014/01/05,934.21,12480.81739
2014/01/06,867.38,13185.94832
2014/01/07,915.69,13185.94832
2014/01/08,809.17,12762.86976
2014/01/09,827.46,14243.64471
2014/01/10,826.28,14243.64471
2014/01/11,851,13397.4876
2014/01/12,807.83,18058.64887
2014/01/13,844.04,18058.64887
2014/01/14,847.7,15211.96531
2014/01/15,830.9,17791.77229
2014/01/16,841.83,17791.77229
2014/01/17,801.53,14500.29442
2014/01/18,833,16368.43051
2014/01/19,811.2,16368.43051
2014/01/20,822.56,15300.92417
2014/01/21,813.05,16902.18368
2014/01/22,824.78,16902.18368
2014/01/23,789.1,21375.12675
2014/01/24,806,16903.79922
2014/01/25,780.02,16903.79922
2014/01/26,777,17558.13983
2014/01/27,800.2,18103.42368
